指标编号,指标名,event_date,App版本,渠道,新老用户,付费状态,来源入口,unlock_type,apply_currency_type,指标值,分子,分母,状态,备注
1,活动参与用户数,,1.9.76,(direct),Old User,Non-paid,,,,3.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,1.9.76,(direct),Old User,Paid,,,,1.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,1.9.97,google,Old User,Non-paid,,,,1.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,1.9.99,(direct),Old User,Non-paid,,,,2.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,1.9.99,frog,Old User,Non-paid,,,,1.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.00,(direct),Old User,Non-paid,,,,2.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.01,(direct),Old User,Non-paid,,,,5.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.01,frog,Old User,Non-paid,,,,1.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.01,google-play,Old User,Non-paid,,,,2.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.02,(direct),Old User,Non-paid,,,,8.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.02,(direct),Old User,Paid,,,,2.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.02,AppReferral,Old User,Non-paid,,,,2.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.02,getit,Old User,Non-paid,,,,2.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.02,google,Old User,Non-paid,,,,1.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.02,google-play,Old User,Non-paid,,,,5.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.03,(direct),Old User,Non-paid,,,,19.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.03,(direct),Old User,Paid,,,,3.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.03,AppReferral,Old User,Non-paid,,,,1.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.03,frog,Old User,Paid,,,,1.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.03,google-play,New User,Non-paid,,,,2.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.03,google-play,New User,Paid,,,,2.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.03,google-play,Old User,Non-paid,,,,14.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.03,google-play,Old User,Paid,,,,2.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.04,(direct),New User,Non-paid,,,,1.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.05,(direct),New User,Non-paid,,,,3.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.05,(direct),Old User,Non-paid,,,,5.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.05,(direct),Old User,Paid,,,,1.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.05,frog,Old User,Non-paid,,,,1.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.05,google,Old User,Non-paid,,,,1.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.05,google-play,New User,Non-paid,,,,1.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.05,google-play,Old User,Non-paid,,,,3.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.06,(direct),New User,Non-paid,,,,4.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.06,(direct),Old User,Non-paid,,,,9.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.06,(direct),Old User,Paid,,,,3.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.06,apps.facebook.com,New User,Non-paid,,,,3.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.06,apps.facebook.com,Old User,Paid,,,,1.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.06,apps.instagram.com,New User,Non-paid,,,,1.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.06,frog,Old User,Non-paid,,,,2.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.06,google,Old User,Non-paid,,,,1.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.06,google-play,New User,Non-paid,,,,3.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.06,google-play,Old User,Non-paid,,,,7.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,2.0.06,google-play,Old User,Paid,,,,2.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
1,活动参与用户数,,Unknown,Unknown,Old User,Non-paid,,,,16.0,,,available,Draw-side metric from corrected free_paid_unlock scope; all-platform where Redshift has data.
2,总抽取次数,2026-05-28,1.9.73,(direct),Old User,Non-paid,,free_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-28,1.9.74,(direct),New User,Non-paid,,free_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-28,1.9.74,(direct),Old User,Non-paid,,diamond_unlock,ALL,13.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-28,1.9.74,(direct),Old User,Non-paid,,free_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-28,1.9.99,(direct),Old User,Non-paid,,diamond_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-28,2.0.00,(direct),Old User,Non-paid,,diamond_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-28,2.0.01,(direct),Old User,Non-paid,,diamond_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-28,2.0.01,(direct),Old User,Non-paid,,free_unlock,ALL,5.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-28,2.0.02,(direct),Old User,Non-paid,,diamond_unlock,ALL,5.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-28,2.0.02,(direct),Old User,Non-paid,,free_unlock,ALL,6.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-28,2.0.02,(direct),Old User,Non-paid,,paid_unlock,ALL,9.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-28,2.0.02,AppReferral,Old User,Non-paid,,free_unlock,ALL,5.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-28,2.0.02,AppReferral,Old User,Non-paid,,paid_unlock,ALL,5.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-28,2.0.02,google,Old User,Non-paid,,diamond_unlock,ALL,5.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-28,2.0.02,google-play,Old User,Non-paid,,diamond_unlock,ALL,4.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-28,2.0.02,google-play,Old User,Non-paid,,paid_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-28,2.0.03,(direct),Old User,Non-paid,,free_unlock,ALL,4.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-28,2.0.03,google-play,New User,Paid,,free_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-28,2.0.03,google-play,Old User,Non-paid,,diamond_unlock,ALL,9.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-28,Unknown,Unknown,Old User,Non-paid,,diamond_unlock,ALL,27.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-28,Unknown,Unknown,Old User,Non-paid,,free_unlock,ALL,18.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,1.9.74,(direct),Old User,Non-paid,,diamond_unlock,ALL,7.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,1.9.74,(direct),Old User,Non-paid,,free_unlock,ALL,5.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,1.9.74,(direct),Old User,Paid,,diamond_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,1.9.74,AppReferral,Old User,Non-paid,,diamond_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,1.9.74,getit,Old User,Non-paid,,diamond_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,2.0.01,(direct),Old User,Non-paid,,free_unlock,ALL,3.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,2.0.02,(direct),Old User,Non-paid,,diamond_unlock,ALL,15.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,2.0.02,(direct),Old User,Non-paid,,free_unlock,ALL,7.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,2.0.02,(direct),Old User,Paid,,free_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,2.0.02,AppReferral,Old User,Non-paid,,free_unlock,ALL,11.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,2.0.02,getit,Old User,Non-paid,,diamond_unlock,ALL,5.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,2.0.02,google-play,Old User,Non-paid,,diamond_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,2.0.02,google-play,Old User,Non-paid,,paid_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,2.0.03,(direct),Old User,Non-paid,,diamond_unlock,ALL,3.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,2.0.03,(direct),Old User,Non-paid,,free_unlock,ALL,12.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,2.0.03,frog,Old User,Paid,,free_unlock,ALL,3.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,2.0.03,google-play,New User,Non-paid,,free_unlock,ALL,2.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,2.0.03,google-play,New User,Paid,,free_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,2.0.03,google-play,New User,Paid,,paid_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,2.0.03,google-play,Old User,Non-paid,,diamond_unlock,ALL,13.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,2.0.03,google-play,Old User,Non-paid,,free_unlock,ALL,3.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,Unknown,Unknown,Old User,Non-paid,,diamond_unlock,ALL,20.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-29,Unknown,Unknown,Old User,Non-paid,,free_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-30,1.9.74,(direct),Old User,Non-paid,,diamond_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-30,1.9.74,(direct),Old User,Non-paid,,free_unlock,ALL,5.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-30,2.0.01,(direct),Old User,Non-paid,,diamond_unlock,ALL,6.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-30,2.0.02,(direct),Old User,Non-paid,,diamond_unlock,ALL,5.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-30,2.0.02,(direct),Old User,Non-paid,,free_unlock,ALL,5.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-30,2.0.02,(direct),Old User,Non-paid,,paid_unlock,ALL,3.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-30,2.0.02,(direct),Old User,Paid,,free_unlock,ALL,3.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-30,2.0.02,AppReferral,Old User,Non-paid,,free_unlock,ALL,13.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-30,2.0.02,getit,Old User,Non-paid,,diamond_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-30,2.0.02,getit,Old User,Non-paid,,free_unlock,ALL,2.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-30,2.0.02,google,Old User,Non-paid,,diamond_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-30,2.0.02,google-play,Old User,Non-paid,,diamond_unlock,ALL,2.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-30,2.0.03,(direct),Old User,Non-paid,,diamond_unlock,ALL,7.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-30,2.0.03,(direct),Old User,Non-paid,,free_unlock,ALL,15.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-30,2.0.03,(direct),Old User,Paid,,diamond_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-30,2.0.03,frog,Old User,Paid,,diamond_unlock,ALL,5.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-30,2.0.03,frog,Old User,Paid,,free_unlock,ALL,3.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-30,2.0.03,google-play,New User,Non-paid,,diamond_unlock,ALL,4.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-30,2.0.03,google-play,New User,Non-paid,,free_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-30,2.0.03,google-play,Old User,Non-paid,,diamond_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-30,Unknown,Unknown,Old User,Non-paid,,diamond_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-30,Unknown,Unknown,Old User,Non-paid,,free_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-31,1.9.72,(direct),Old User,Non-paid,,free_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-31,1.9.74,(direct),Old User,Non-paid,,free_unlock,ALL,8.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-31,2.0.02,(direct),Old User,Non-paid,,diamond_unlock,ALL,10.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-31,2.0.02,(direct),Old User,Paid,,free_unlock,ALL,8.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-31,2.0.02,AppReferral,Old User,Non-paid,,free_unlock,ALL,10.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-31,2.0.02,google-play,Old User,Non-paid,,diamond_unlock,ALL,4.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-31,2.0.03,(direct),Old User,Non-paid,,diamond_unlock,ALL,14.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-31,2.0.03,(direct),Old User,Non-paid,,free_unlock,ALL,10.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-31,2.0.03,(direct),Old User,Non-paid,,paid_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-31,2.0.03,(direct),Old User,Paid,,diamond_unlock,ALL,2.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-31,2.0.03,google-play,New User,Paid,,free_unlock,ALL,5.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-05-31,Unknown,Unknown,Old User,Non-paid,,paid_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-06-01,1.9.74,(direct),Old User,Non-paid,,free_unlock,ALL,4.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-06-01,1.9.75,(direct),Old User,Non-paid,,diamond_unlock,ALL,2.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-06-01,2.0.01,(direct),Old User,Non-paid,,free_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-06-01,2.0.02,(direct),Old User,Non-paid,,diamond_unlock,ALL,4.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-06-01,2.0.02,(direct),Old User,Non-paid,,free_unlock,ALL,6.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-06-01,2.0.02,(direct),Old User,Paid,,free_unlock,ALL,10.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-06-01,2.0.02,AppReferral,Old User,Non-paid,,free_unlock,ALL,6.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-06-01,2.0.02,AppReferral,Old User,Non-paid,,paid_unlock,ALL,2.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-06-01,2.0.02,getit,Old User,Non-paid,,diamond_unlock,ALL,5.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-06-01,2.0.03,(direct),Old User,Non-paid,,diamond_unlock,ALL,2.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-06-01,2.0.03,(direct),Old User,Non-paid,,free_unlock,ALL,9.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-06-01,2.0.03,AppReferral,Old User,Non-paid,,diamond_unlock,ALL,5.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-06-01,2.0.03,google-play,New User,Paid,,free_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-06-01,2.0.03,google-play,Old User,Non-paid,,paid_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-06-01,2.0.04,(direct),New User,Non-paid,,free_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-06-01,2.0.05,(direct),New User,Non-paid,,diamond_unlock,ALL,5.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-06-01,Unknown,Unknown,Old User,Non-paid,,free_unlock,ALL,11.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-06-02,1.9.72,(direct),Old User,Non-paid,,free_unlock,ALL,1.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
2,总抽取次数,2026-06-02,1.9.99,(direct),Old User,Non-paid,,free_unlock,ALL,2.0,,,available,Every updated free_paid_unlock lucky_scratch_h5 row counts as one lucky draw; split only by unlock_type.
